Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.036,0.01025709,0.045,0.02067708,0.045,0.002975743,0.036,3.303838,0.089,0.08800017,16.03194,"1.D.6",,,0.089,6.828985,
0.037,0.00734979,0.046,0.02220861,0.046,0.003992157,0.037,3.303839,0.091,0.08800017,16.33191,"1.D.7",,,0.091,6.82897,
0.038,0.01316943,0.047,0.02401001,0.047,0.007950708,0.038,3.303913,0.094,0.08800017,16.63194,"1.D.8",,,0.094,6.828963,
0.039,0.015737,0.048,0.01957888,0.048,0.009165573,0.039,3.304034,0.096,0.08800017,16.93189,"1.D.9",,,0.096,6.829023,
0.04,0.01932086,0.049,0.02332382,0.049,0.009211862,0.04,3.304,0.098,0.08800017,17.23192,"1.D.10",,,0.098,6.829031,
0.04,0.02760916,0.051,0.0249343,0.051,0.004438084,0.041,3.303966,0.1,0.08800017,17.53187,"1.D.11",,,0.1,6.828944,
0.041,0.02713151,0.052,0.02322915,0.052,-0.001312502,0.041,3.30391,0.102,0.08800017,17.832,"1.D.12",,,0.102,6.828956,
0.042,0.03046995,0.053,0.01882435,0.053,0.0001643435,0.042,3.303837,0.104,0.08800017,18.13187,"1.E.1",,,0.104,6.828976,
0.043,0.03589004,0.054,0.01012495,0.054,0.001759672,0.043,3.303904,0.107,0.08800017,18.43197,"1.E.2",,,0.107,6.829048,
0.044,0.03630672,0.055,0.00868468,0.055,0.005854709,0.044,3.303919,0.109,0.08800017,18.73201,"1.E.3",,,0.109,6.828934,
0.045,0.03893459,0.056,0.002810893,0.056,0.01024615,0.045,3.303952,0.111,0.08800017,19.03195,"1.E.4",,,0.111,6.828898,
0.046,0.04191272,0.057,0.008809381,0.057,0.01258285,0.046,3.303982,0.113,0.08800017,19.33194,"1.E.5",,,0.113,6.8289,
0.047,0.03828416,0.058,0.01310767,0.058,0.01541005,0.047,3.30395,0.115,0.08800017,19.63196,"1.E.6",,,0.115,6.82893,
0.047,0.03366611,0.059,0.02460342,0.059,0.01503592,0.047,3.303945,0.117,0.08800017,19.93191,"1.E.7",,,0.117,6.828958,
0.048,0.02827566,0.06,0.02919143,0.06,0.01525015,0.048,3.304033,0.12,0.08800017,20.23195,"1.E.8",,,0.12,6.82891,
0.049,0.02250672,0.061,0.0278657,0.061,0.01604572,0.049,3.303958,0.122,0.08800017,20.53204,"1.E.9",,,0.122,6.828845,
0.05,0.01596049,0.062,0.03049746,0.062,0.01660726,0.05,3.304051,0.124,0.08800017,20.83205,"1.E.10",,,0.124,6.828938,
0.051,0.01363601,0.064,0.03856955,0.064,0.01241993,0.051,3.304006,0.126,0.08800017,21.13208,"1.E.11",,,0.126,6.828979,
0.052,0.01446532,0.065,0.03900433,0.065,0.01551094,0.052,3.30397,0.128,0.08800017,21.43207,"1.E.12",,,0.128,6.828913,
0.053,0.01590234,0.066,0.03860641,0.066,0.01301002,0.053,3.30396,0.13,0.08800017,21.73203,"1.F.1",,,0.13,6.828935,
0.053,0.02164805,0.067,0.03022824,0.067,0.01140246,0.054,3.303984,0.133,0.08800017,22.03203,"1.F.2",,,0.133,6.828888,
0.054,0.02585455,0.068,0.02215322,0.068,0.01258178,0.054,3.304023,0.135,0.08800017,22.33208,"1.F.3",,,0.135,6.82891,
0.055,0.02882982,0.069,0.01753664,0.069,0.01247177,0.055,3.304085,0.137,0.08800017,22.63203,"1.F.4",,,0.137,6.828893,
0.056,0.03125932,0.07,0.01307155,0.07,0.01955899,0.056,3.304216,0.139,0.08800017,22.93205,"1.F.5",,,0.139,6.828846,
0.057,0.03168715,0.071,0.01165483,0.071,0.02383142,0.057,3.304279,0.141,0.08800017,23.23199,"1.F.6",,,0.141,6.828881,
0.058,0.02908821,0.072,0.01406476,0.072,0.02504044,0.058,3.304281,0.143,0.08800017,23.53202,"1.F.7",,,0.143,6.828845,
0.059,0.02618439,0.073,0.01863855,0.073,0.02760945,0.059,3.304235,0.146,0.08800017,23.79106,"Waste(Frac)",,,0.146,6.828862,
0.06,0.02448429,0.074,0.02381281,0.074,0.02393079,0.06,3.30415,0.148,0.08800017,24.35825,"Waste",,,0.148,6.82881,
0.06,0.02300475,0.075,0.02864419,0.075,0.02652003,0.06,3.304132,0.15,0.08800017,,,,,0.15,6.82888,
0.061,0.02446038,0.077,0.02321836,0.077,0.02610942,0.061,3.304217,0.152,0.08800017,,,,,0.152,6.828877,
0.062,0.03113327,0.078,0.02285972,0.078,0.0255296,0.062,3.304349,0.154,0.08800017,,,,,0.154,6.828831,
0.063,0.03568351,0.079,0.02419486,0.079,0.02658339,0.063,3.304373,0.156,0.08800017,,,,,0.156,6.828777,
0.064,0.03629009,0.08,0.02868368,0.08,0.02045156,0.064,3.304425,0.159,0.08800017,,,,,0.158,6.828812,
0.065,0.03655609,0.081,0.03553773,0.081,0.01633784,0.065,3.304499,0.161,0.08800017,,,,,0.161,6.8288,
0.066,0.03568049,0.082,0.03071603,0.082,0.01033626,0.066,3.304596,0.163,0.08800017,,,,,0.163,6.82873,
0.066,0.03080937,0.083,0.03289915,0.083,0.01210516,0.067,3.304639,0.165,0.08800017,,,,,0.165,6.828691,
0.067,0.02420944,0.084,0.0313994,0.084,0.02019955,0.067,3.304657,0.167,0.08800017,,,,,0.167,6.828709,
0.068,0.02152906,0.085,0.02859826,0.085,0.02531994,0.068,3.304626,0.169,0.08800017,,,,,0.169,6.828757,
0.069,0.01953709,0.086,0.0309093,0.086,0.02831891,0.069,3.304636,0.172,0.08800017,,,,,0.171,6.82874,
0.07,0.0222875,0.087,0.02635668,0.087,0.02588072,0.07,3.304858,0.174,0.08800017,,,,,0.174,6.828573,
0.071,0.02914746,0.088,0.03089738,0.088,0.02763686,0.071,3.304902,0.176,0.08800017,,,,,0.176,6.828709,
0.072,0.03422221,0.09,0.02706343,0.09,0.03327839,0.072,3.304832,0.178,0.08800017,,,,,0.178,6.828749,
0.073,0.03322541,0.091,0.02560152,0.091,0.03428278,0.073,3.304903,0.18,0.08800017,,,,,0.18,6.828664,
0.073,0.02851434,0.092,0.03252455,0.092,0.03274563,0.073,3.304979,0.182,0.08800017,,,,,0.182,6.828679,
0.074,0.02722123,0.093,0.04030013,0.093,0.02857979,0.074,3.304926,0.185,0.08800017,,,,,0.184,6.828606,
0.075,0.02692445,0.094,0.04309098,0.094,0.0214125,0.075,3.304881,0.187,0.08800017,,,,,0.187,6.828646,
0.076,0.03024223,0.095,0.03248868,0.095,0.0136742,0.076,3.304861,0.189,0.08800017,,,,,0.189,6.828789,
0.077,0.03919741,0.096,0.02110814,0.096,0.009466824,0.077,3.304908,0.191,0.08800017,,,,,0.191,6.828637,
0.078,0.03982742,0.097,0.0159343,0.097,0.004893958,0.078,3.304933,0.193,0.08800017,,,,,0.193,6.828625,
