Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,PreC pressure,,DeltaC pressure,,Fraction,,Injection,,pH,,System pressure,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,MPa,ml,MPa,ml,Fraction,ml,Injection,ml,,ml,MPa,
0.002,-0.007665016,0.011,-0.03454256,0.011,-0.002699252,0.003,18.96697,0.034,0,0.034,2.400005,0.043,0.2154858,0.046,0.03990534,12.70958,"1.A.1",12.69548,"",0.04,7.198572,0.002,0.02726982,
0.008,-0.007444301,0.041,-0.03783788,0.041,-0.003106136,0.015,18.96651,0.092,0,0.092,0.7900662,0.102,0.06381624,0.105,0.01381865,13.00778,"1.A.2",,,0.099,7.198705,0.008,0.03304864,
0.014,-0.007221384,0.07,-0.04200902,0.07,0.004632604,0.026,18.9844,0.151,0,0.151,2.400005,0.161,0.01982008,0.164,0.01517989,13.30766,"1.A.3",,,0.157,7.198716,0.014,0.04016618,
0.02,-0.005990897,0.099,-0.04179532,0.099,0.01152427,0.038,19.00355,0.21,0,0.21,2.400005,0.219,0.09686634,0.223,0.02945998,13.60763,"1.A.4",,,0.216,7.198638,0.02,0.03671832,
0.026,-0.005131036,0.129,-0.03898016,0.129,0.01366813,0.05,19.00896,0.268,0,0.268,2.400005,0.278,0.1950172,0.281,0.03463555,13.90746,"1.A.5",,,0.275,7.198359,0.026,0.04770267,
0.032,-0.004457313,0.158,-0.03397835,0.158,0.008118007,0.062,19.01329,0.327,0,0.327,2.400005,0.337,0.2249156,0.34,0.03772806,14.21139,"1.A.6",,,0.333,7.198257,0.032,0.06131366,
0.037,-0.003733665,0.188,-0.02622874,0.188,0.00562145,0.073,19.01685,0.386,0,0.386,2.400005,0.396,0.2311382,0.399,0.03954499,14.51128,"1.A.7",,,0.392,7.198337,0.037,0.07548172,
0.043,-0.003136674,0.217,-0.02145455,0.217,0.002363313,0.085,19.02003,0.444,0,0.444,2.400005,0.454,0.2312311,0.457,0.04054792,14.81117,"1.A.8",,,0.451,7.198319,0.043,0.08900791,
0.049,-0.002930418,0.246,-0.0182424,0.246,0.009264245,0.097,19.0228,0.503,0,0.503,2.400005,0.513,0.2302904,0.516,0.04099049,15.11114,"1.A.9",,,0.51,7.198525,0.049,0.1043892,
0.055,-0.002790981,0.276,-0.01295669,0.276,0.01492953,0.108,19.02502,0.561,0,0.561,2.400005,0.572,0.2300919,0.575,0.04155146,15.41103,"1.A.10",,,0.568,7.198551,0.055,0.1216712,
0.061,-0.003265632,0.305,-0.02129094,0.305,0.01000825,0.12,19.02436,0.62,0,0.62,2.400005,0.63,0.230339,0.634,0.04212134,15.71091,"1.A.11",,,0.627,7.198645,0.061,0.1403143,
0.067,-0.003878664,0.334,-0.02736339,0.334,0.005650019,0.132,19.018,0.679,0,0.679,2.400005,0.689,0.2305502,0.692,0.04290388,16.0108,"1.A.12",,,0.686,7.198713,0.067,0.1591781,
0.073,-0.004773909,0.364,-0.02872096,0.364,0.0005999373,0.144,19.00593,0.737,0,0.737,2.400005,0.748,0.2310176,0.751,0.04323127,16.31068,"1.B.1",,,0.744,7.198871,0.073,0.1795537,
0.078,-0.006103858,0.393,-0.01904382,0.393,0.01320564,0.155,18.99219,0.796,0,0.796,2.400005,0.806,0.2317551,0.81,0.04404918,16.61065,"1.B.2",,,0.803,7.199004,0.078,0.198909,
0.084,-0.007286398,0.422,-0.001276285,0.422,0.02545166,0.167,18.98003,0.855,0,0.855,2.400005,0.865,0.2322538,0.869,0.04477866,16.91057,"1.B.3",,,0.862,7.199067,0.084,0.2159994,
