Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 2_254,,UV 3_295,,Cond,,Conc B,,System flow,,PreC pressure,,DeltaC pressure,,Fraction,,Injection,,pH,,System pressure,,
ml,mAU,ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,MPa,ml,MPa,ml,Fraction,ml,Injection,ml,,ml,MPa,
0.418,-0.1143544,2.04,1117.238,2.04,414.2611,0.84,18.95631,4.096,0,4.096,16.00003,4.094,0.6515954,4.091,0.3423161,33.84717,"1.C.4",,,4.081,7.092302,0.418,0.7226985,
0.433,-0.1123109,2.115,1296.036,2.115,481.9445,0.87,18.95647,4.247,0,4.247,16.00003,4.244,0.6548744,4.242,0.345805,34.43276,"1.C.5",,,4.231,7.092058,0.433,0.7240886,
0.448,-0.1103968,2.19,1474.579,2.19,547.6514,0.9,18.95669,4.397,0,4.397,16.00003,4.395,0.657742,4.392,0.3490032,35.04506,"1.C.6",,,4.382,7.091725,0.448,0.7258088,
0.463,-0.1084843,2.265,1611,2.265,603.7825,0.93,18.95706,4.548,0,4.548,16.00003,4.545,0.6616011,4.542,0.3516854,35.63047,"1.C.7",,,4.532,7.091337,0.463,0.7268761,
0.478,-0.106573,2.341,1738.922,2.341,658.2346,0.96,18.9574,4.698,0,4.698,16.00003,4.695,0.6656065,4.693,0.3542916,36.24258,"1.C.8",,,4.682,7.091141,0.478,0.7273579,
0.493,-0.1046684,2.416,1837.246,2.416,706.9395,0.99,18.95766,4.849,0,4.849,16.00003,4.846,0.6676597,4.843,0.3566553,36.85482,"1.C.9",,,4.833,7.090956,0.493,0.7290592,
0.508,-0.1027662,2.491,1925.051,2.491,749.6667,1.02,18.95727,4.999,0,4.999,16.00003,4.996,0.670199,4.994,0.3588092,37.44015,"1.C.10",,,4.983,7.090432,0.508,0.7311412,
0.523,-0.09594514,2.566,1999.247,2.566,784.6608,1.05,18.95643,5.149,0,5.149,16.00003,5.147,0.6740404,5.144,0.3606884,38.05256,"1.C.11",,,5.133,7.090077,0.523,0.7315947,
0.538,-0.08800966,2.641,2057.194,2.641,811.5785,1.08,18.95188,5.3,0,5.3,16.00003,5.297,0.6765377,5.294,0.3623802,38.63816,"1.C.12",,,5.284,7.090118,0.538,0.7323207,
0.553,-0.07619356,2.716,2106.891,2.716,834.3953,1.11,18.94594,5.45,0,5.45,16.00003,5.448,0.6777069,5.445,0.3639766,39.25003,"1.D.1",,,5.434,7.090003,0.553,0.734116,
0.568,-0.06432949,2.791,2136.872,2.791,852.4272,1.14,18.92825,5.601,0,5.601,16.00003,5.598,0.6796736,5.595,0.3640806,39.86228,"1.D.2",,,5.584,7.089747,0.568,0.7354602,
0.583,-0.05240619,2.866,2163.598,2.866,869.2569,1.17,18.904,5.751,0,5.751,16.00003,5.748,0.6819312,5.746,0.3642833,40.44794,"1.D.3",,,5.735,7.089721,0.583,0.7362146,
0.598,-0.04053878,2.941,2183.541,2.941,881.3892,1.2,18.86275,5.902,0,5.902,16.00003,5.899,0.6835266,5.896,0.3664451,41.05984,"1.D.4",,,5.885,7.089768,0.598,0.7371995,
0.613,-0.02869753,3.017,2201.276,3.017,891.6945,1.23,18.80192,6.052,0,6.052,16.00003,6.049,0.6849119,6.046,0.3678795,41.64547,"1.D.5",,,6.035,7.089776,0.613,0.7382984,
0.628,-0.01714766,3.092,2214.914,3.092,898.6098,1.261,18.72158,6.202,0,6.202,16.00003,6.2,0.6855268,6.197,0.3679886,42.25772,"1.D.6",,,6.186,7.089748,0.628,0.73927,
0.643,-0.005648815,3.167,2225.385,3.167,904.4185,1.291,18.60405,6.353,0,6.353,16.00003,6.35,0.6866522,6.347,0.3686734,42.65675,"Waste(Frac)",,,6.336,7.089595,0.643,0.7403058,
0.658,0.005727226,3.242,2233.54,3.242,909.418,1.321,18.47285,6.503,0,6.503,16.00003,6.5,0.6884671,6.498,0.3697681,43.41128,"Waste",,,6.486,7.089467,0.658,0.7418936,
0.673,0.01713993,3.317,2239.739,3.317,913.6958,1.351,18.29198,6.654,0,6.654,16.00003,6.651,0.689101,6.648,0.3704876,,,,,6.637,7.089368,0.673,0.743117,
0.688,0.02862391,3.392,2245.435,3.392,917.7558,1.381,18.10081,6.804,0,6.804,16.00003,6.801,0.6891138,6.798,0.3711127,,,,,6.787,7.089335,0.688,0.7436468,
0.703,0.03850951,3.467,2250.027,3.467,920.4917,1.411,17.87455,6.955,0,6.955,16.00003,6.952,0.6907517,6.949,0.3715432,,,,,6.937,7.089334,0.703,0.7450504,
0.718,0.04723716,3.542,2254.273,3.542,923.0497,1.441,17.6365,7.105,0,7.105,13.91924,7.102,0.6919742,7.099,0.3719192,,,,,7.088,7.089142,0.718,0.7470877,
