Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,
UV 1_280,,UV 3_295,,Cond,,Conc B,,System flow,,Fraction,,Injection,,pH,,
ml,mAU,ml,mAU,ml,mS/cm,ml,%,ml,ml/min,ml,Fraction,ml,Injection,ml,,
0.097,-0.02217293,0.121,-0.02255074,0.097,3.321271,0.241,0,0.241,0.08800017,,,,,0.241,6.834601,
0.099,-0.01234227,0.123,-0.0260134,0.099,3.321211,0.246,0,0.246,0.08800017,,,,,0.246,6.834424,
0.101,-0.01202069,0.126,-0.02555293,0.101,3.321288,0.251,0,0.251,0.08800017,,,,,0.251,6.834563,
0.104,-0.0295638,0.128,-0.02974636,0.104,3.321123,0.256,0,0.256,0.08800017,,,,,0.256,6.834536,
0.106,-0.03002687,0.131,-0.02399072,0.106,3.321231,0.261,0,0.261,0.08800017,,,,,0.261,6.834496,
0.108,-0.02124025,0.133,-0.02822955,0.108,3.321166,0.266,0,0.266,0.08800017,,,,,0.266,6.834481,
0.11,-0.01071454,0.136,-0.03394504,0.11,3.321315,0.272,0,0.272,0.08800017,,,,,0.272,6.834529,
0.112,-0.0135926,0.138,-0.02798838,0.112,3.321337,0.277,0,0.277,0.08800017,,,,,0.277,6.834538,
0.114,-0.02269223,0.141,-0.03566575,0.114,3.321532,0.282,0,0.282,0.08800017,,,,,0.282,6.834479,
0.116,-0.02223067,0.144,-0.03634321,0.116,3.321615,0.287,0,0.287,0.08800017,,,,,0.287,6.834469,
0.118,-0.01211889,0.146,-0.02758741,0.118,3.321577,0.292,0,0.292,0.08800017,,,,,0.292,6.834539,
0.12,-0.01792574,0.149,-0.03282953,0.12,3.321454,0.297,0,0.297,0.08800017,,,,,0.297,6.834535,
0.122,-0.02845414,0.151,-0.02771045,0.122,3.321536,0.302,0,0.302,0.08800017,,,,,0.302,6.834467,
0.124,-0.01750592,0.154,-0.02352277,0.124,3.321464,0.307,0,0.307,0.08800017,,,,,0.307,6.834587,
0.126,-0.01605038,0.156,-0.01718728,0.126,3.321333,0.312,0,0.312,0.08800017,,,,,0.313,6.834536,
0.128,-0.01476092,0.159,-0.01987655,0.128,3.321448,0.318,0,0.318,0.08800017,,,,,0.318,6.834427,
0.13,-0.01955639,0.161,-0.01976748,0.13,3.321525,0.323,0,0.323,0.08800017,,,,,0.323,6.834557,
0.132,-0.02653866,0.164,-0.007592311,0.132,3.321489,0.328,0,0.328,0.08800017,,,,,0.328,6.83449,
0.134,-0.02609856,0.167,-0.01080989,0.134,3.321417,0.333,0,0.333,0.08800017,,,,,0.333,6.834499,
0.136,-0.02173157,0.169,-0.01489789,0.136,3.32138,0.338,0,0.338,0.08800017,,,,,0.338,6.834508,
0.138,-0.02157174,0.172,-0.03282687,0.138,3.321453,0.343,0,0.343,0.08800017,,,,,0.343,6.834539,
0.14,-0.02842364,0.174,-0.03569107,0.14,3.321392,0.348,0,0.348,0.08800017,,,,,0.348,6.834587,
0.142,-0.03235831,0.177,-0.01627596,0.142,3.321459,0.353,0,0.353,0.08800017,,,,,0.353,6.834567,
0.144,-0.02091844,0.179,-0.01125736,0.144,3.321566,0.359,0,0.359,0.08800017,,,,,0.359,6.834561,
0.147,-0.0162136,0.182,-0.02073744,0.147,3.321515,0.364,0,0.364,0.08800017,,,,,0.364,6.834612,
0.149,-0.01241312,0.184,-0.02242534,0.149,3.321555,0.369,0,0.369,0.08800017,,,,,0.369,6.834558,
0.151,-0.01121618,0.187,-0.02308689,0.151,3.321481,0.374,0,0.374,0.08800017,,,,,0.374,6.834465,
0.153,-0.016667,0.19,-0.02831243,0.153,3.321401,0.379,0,0.379,0.08800017,,,,,0.379,6.83461,
0.155,-0.02778631,0.192,-0.03394228,0.155,3.321412,0.384,0,0.384,0.08800017,,,,,0.384,6.834575,
