wash_name,nice_name,mab_area,large,small,mab,lmw1,lmw2,lmw3,monomer_loss_percent,hcp_ppm
blank,Blank,6.175180355285,1.9877211879485817,1.5659036563739712,94.52546077897956,0.6968353957703405,0.38225703338728145,0.16242561341513265,0.0,4570.0
urea 1,1 M Urea,6.23498027184,1.1398558315772498,1.2401844517583671,96.11682316519634,0.6021627571684488,0.22667511808378268,0.15066952352949642,-0.9683914171643642,1760.0
tween,1% Tween 80,6.1834097378749995,1.8287938804370893,1.5510272144113213,94.91796367422096,0.6751750510190238,0.2733987228097452,0.15107482945831244,-0.13326546135541845,1630.0
IPA,10% IPA,6.09265510292,1.8730383459687712,1.4638697663772597,94.9689788029596,0.6416847882171335,0.3270772342409212,0.14688010404026963,1.33640230109831,1590.0
arginine,0.45 M Arginine,5.738101089855,1.7032460590310907,1.5079617544527175,94.82914123176455,0.6874715675885492,0.4718197485112257,0.14995322760064025,7.07799999810414,1140.0
NaCl,0.5 M NaCl,6.296602226615001,1.5904217530590028,1.4386211554997075,95.29553425028813,0.6485061907618238,0.302416794469201,0.14146970113067042,-1.9662886643639885,1130.0
10,pH 10,6.050223229005001,1.5753583848582264,1.528316475374388,95.37613455542515,0.5990505424668445,0.22615944465149024,0.14614465142501648,2.0235380845687385,691.0
