resin,frac,large_percent,small_percent,total_hmw_percent,percentage_loading,loading_mg_ml
cq,1A05,,,,5.35298308220988,53.5298308220988
cq,1B12,1.13080103678975,1.65012930294944,2.78093033973919,27.9547356595295,279.547356595295
cq,1D09,1.50098938671238,1.65958135408389,3.16057074079627,52.9362582606397,529.362582606397
cq,1F05,1.5456296600044,1.67125993093772,3.21688959094212,76.7270856463125,767.270856463125
cq,1G12,1.51552652982104,1.63281387410207,3.14834040392311,99.3296233148295,993.296233148295
hq,1A05,,,,5.35298308220988,53.5298308220988
hq,1B12,0.239274833332691,1.48127790601476,1.72055273934745,27.9547356595295,279.547356595295
hq,1D09,0.247970037367971,1.44168339558866,1.68965343295663,52.9362582606397,529.362582606397
hq,1F05,0.258630547099564,1.44805416686196,1.70668471396152,76.7270856463125,767.270856463125
hq,1G12,0.267363625413551,1.45661596182164,1.72397958723519,99.3296233148295,993.296233148295
xq,1A05,0.197956769571739,1.44197689700159,1.63993366657332,5.35298308220988,53.5298308220988
xq,1B12,0.205511608484467,1.49372178336222,1.69923339184669,27.9547356595295,279.547356595295
xq,1D09,0.258503673299912,1.52966082158055,1.78816449488046,52.9362582606397,529.362582606397
xq,1F05,0.521741727869499,1.56278256411051,2.08452429198001,76.7270856463125,767.270856463125
xq,1G12,1.29946907498609,1.62798679519185,2.92745587017794,99.3296233148295,993.296233148295
