feed,wavelength_nm,frac,mass_frac_mean_percent,rsd_percent
unprocessed_hccf,254,large,0.4924523225461532,22.648450683288033
unprocessed_hccf,254,small,0.4016183634647885,5.561507307083556
unprocessed_hccf,254,mab,18.811066017861616,1.0368341968887735
unprocessed_hccf,254,lmw1,1.5371087601742015,6.413005147273557
unprocessed_hccf,254,lmw2,50.43444376437735,0.7826489166701693
unprocessed_hccf,254,lmw3,26.846699484392833,0.5563854438536391
unprocessed_hccf,280,large,0.6561933499297756,9.320091953509896
unprocessed_hccf,280,small,0.5730767676635886,1.1231193411693934
unprocessed_hccf,280,mab,32.20153148563175,0.8043321849019833
unprocessed_hccf,280,lmw1,2.5543489420799474,1.5678273856827036
unprocessed_hccf,280,lmw2,31.376838341731606,0.31906045105561975
unprocessed_hccf,280,lmw3,31.469522683235347,0.49482052427820034
unprocessed_pafvin,254,large,1.6101178030989864,4.375226720781111
unprocessed_pafvin,254,small,1.6645886563600072,3.6388227556002644
unprocessed_pafvin,254,mab,101.58676239044989,0.5718714598136065
unprocessed_pafvin,254,lmw1,0.4606887094197003,22.736618856684217
unprocessed_pafvin,254,lmw2,-5.558464655882126,-7.31634998752107
unprocessed_pafvin,254,lmw3,-0.14088453200211762,-416.67120009167553
unprocessed_pafvin,280,large,1.8246662465958887,4.379626487507733
unprocessed_pafvin,280,small,2.134632434117341,3.718813486867969
unprocessed_pafvin,280,mab,94.84345869775541,0.17001350895274597
unprocessed_pafvin,280,lmw1,0.5625075903451754,8.272464490610453
unprocessed_pafvin,280,lmw2,0.09513168498904674,99.94515352064711
unprocessed_pafvin,280,lmw3,0.08265607232926331,66.56691908413322
diluted_pafvin,254,large,1.596560247357154,5.444590531593225
diluted_pafvin,254,small,1.5458820774394528,7.55678475687924
diluted_pafvin,254,mab,98.7758628369279,2.893713841168028
diluted_pafvin,254,lmw1,0.508726690666685,27.845139448821527
diluted_pafvin,254,lmw2,-3.572717393322566,-49.44534679467082
diluted_pafvin,254,lmw3,0.18591909749111987,265.81509954429356
diluted_pafvin,280,large,1.4854654200939266,9.19316880711157
diluted_pafvin,280,small,1.6128069239294494,3.3240967842416693
diluted_pafvin,280,mab,95.58356054097531,0.370345044717949
diluted_pafvin,280,lmw1,0.5121058910617352,12.80411350557093
diluted_pafvin,280,lmw2,0.20622376258894384,43.54089621549583
diluted_pafvin,280,lmw3,0.07286773267336301,92.33412733595614
