label,large_agg_percent,small_agg_percent,elisa_ppm,total_agg_percent,resin,frac,flow_cm_h
CQ 150 cm/h,1.51965428212873,1.6314035260398,1800,3.15105780816853,cq,g11,150
XQ 150 cm/h,1.2905646359148,1.62871187804103,861,2.91927651395583,xq,g11,150
HQ 150 cm/h,0.26825119749164,1.45333245943585,26.6,1.72158365692749,hq,g11,150
CQ 30 cm/h,1.19609244149999,1.51660772425259,309,2.71270016575258,cq,g11,30
XQ 30 cm/h,0.703215408591648,1.5254504531631,197,2.22866586175475,xq,g11,30
HQ 30 cm/h,0.143298008246345,1.36897478123117,3.52,1.51227278947752,hq,g11,30
