nice_name,large,small,mab,lmw1,lmw2,lmw3,hcp_ppm
Blank,1.7036350388036845,1.6929156876205174,1.8756231159121417,0.16983495972074505,0.007070964429840299,0.003031939415049992,4570.0
1 M Urea,0.9927508732219271,1.3209944985585351,1.866934725551212,0.1466443042876957,0.004427865833770762,0.002721224806316108,1760.0
1% Tween 80,1.5368853019600208,1.654474731447013,1.8713974423580957,0.16534294777352537,0.0053930405649259255,0.002872064754367016,1630.0
10% IPA,1.5635343251170029,1.5532167918416824,1.8487184607869422,0.153451087860442,0.006225393894396207,0.002733562147747579,1590.0
0.45 M Arginine,1.3875089277221586,1.5220709916390092,1.7615379731458916,0.1550141182475308,0.007804998312055557,0.0025590694683861855,1140.0
0.5 M NaCl,1.3803808330732374,1.5805894190003102,1.9169250990690063,0.16085642228640068,0.005993085793654973,0.002715354344329337,1130.0
pH 10,1.317548790922183,1.6250820033368902,1.849775741401653,0.14398925959092465,0.00451043478610938,0.0027009357428425676,691.0
