resin,norm_large_agg_150,norm_large_agg_30,elisa_ppm_150,elisa_ppm_30,large_agg_percent_150,large_agg_percent_30
Capto Q,0.9617824346211236,0.9315763030764992,1800.0,309.0,1.5196542821287318,1.196092441499991
Poros XQ,0.8642118418378664,0.4558947063227373,861.0,197.0,1.2905646359148017,0.7032154085916481
Poros 50 HQ,0.16251381433971587,0.10666143157515835,26.6,3.52,0.2682511974916403,0.1432980082463447
